ID	relative_abundance
1577792	9.60804549816729e-05
1739525	1.3272865921176902e-06
1683	0.0007677927577404381
1679169	4.361599830393846e-05
114090	6.479262312992344e-07
487173	0.0004601741577301472
1638786	0.0008449937949815659
1262802	0.0
671230	6.78026764071579e-05
856	4.5191433373456e-07
1472761	0.001479755566055506
357278	0.0
1527	0.0
1473216	0.0007708834405167297
1496	0.0
1262703	0.00020436478141492898
390842	8.761374535989324e-07
239935	0.00557253972308327
273678	0.0
1897040	0.0
1501329	1.3001947955038954e-05
1537	1.1461712513886684e-06
189722	0.0
1896975	0.0
693444	1.2927854197108454e-05
1681196	0.0
317010	0.0
160386	5.0235197065995916e-05
187327	0.00024239975820713075
1262809	0.0013141385275156642
292806	0.0
853	0.09280135635818186
134533	1.8649798276732598e-06
47671	2.507483435397776e-05
1317	4.689077697120675e-05
1655	0.00031137466030750784
293	0.0
1262687	0.00016285674148491333
84024	3.8662120002087474e-05
104955	2.930754020077983e-06
1263005	0.0005686674014733346
1505	2.6527562573791146e-05
1506471	8.550639080239701e-05
526588	1.1173806555335705e-06
713008	1.9033715869169376e-05
248039	0.0
544644	0.0005859447954237559
712117	0.00014317565883146608
658665	0.0
1807734	4.1053515358478177e-07
83526	0.0
1871013	4.1524567912965025e-05
1262992	0.0010016562787252027
214856	0.0028615155539318963
1263026	0.0007595674809474259
1944646	0.0
544581	6.533124546986105e-05
43769	3.247200611572367e-07
39486	0.004874428377411466
29385	3.452741483077766e-06
159896	6.1027993814260206e-05
1262759	1.7138650825014166e-06
46124	0.00010450525309484997
78448	1.8039728486874405e-05
1423	3.4151143049581128e-06
1262829	0.003620860766512125
105841	0.00026430225421624187
1288120	1.7170355609284661e-06
76860	0.00020601932256810213
1262907	0.0
39484	1.4813047001774923e-05
39491	0.037014721335332845
1262977	0.00031692326297180643
1378168	1.1765538238540778e-05
33959	3.769301644543082e-05
56774	1.8373304960458933e-05
47770	2.9594844456288023e-05
1280	2.117287321840908e-05
1304	0.00736929788949505
55969	0.0
31973	2.76677597790154e-05
200	1.9995463963429224e-05
392416	1.8324275866489635e-05
1263003	0.0006600118980126063
158787	2.5523639332874875e-06
1855299	0.00023450227865760674
1685	0.0003537078270479454
1270	0.0
1352	0.0014806690371139749
2051	0.0
1903261	0.0006417793953997815
1262781	0.003379098324509115
2033	0.0
150056	0.0
1235799	0.0
732	1.4609016427656934e-05
1658109	5.0830946626803945e-06
227942	9.20885590930897e-06
267363	9.098124182362022e-06
762211	1.4759553561944652e-05
1773	1.4429184405781412e-05
290052	0.0
39492	0.0067638483061228235
1308	0.006460995253717757
847	2.38507985222758e-05
1560201	2.8366140513124767e-06
1262926	0.00012063386629400004
1262794	0.00011037734513329654
204	3.056999296485743e-06
1686381	8.021591028120165e-07
1432052	0.0006618723576384498
1871028	9.795399246062294e-07
1897011	0.0049298246182237415
51160	0.0
33029	0.0
1262736	0.0009453724524416006
1871002	6.362179876925973e-06
1785996	3.0475093427441784e-07
501496	5.125224176702806e-07
1262937	0.0
216816	0.008102851300806164
29321	1.5214128574184645e-06
712357	0.0
44007	7.278572712944151e-05
321661	6.622353710745901e-07
60133	0.0
227943	1.1748129286066135e-06
671222	0.0
1776391	0.0017761210525776877
1282	3.0893334827574833e-06
765821	0.0016655674180825507
246432	2.3916858430769806e-05
28028	4.6710996084199056e-05
46503	0.0025703832188915146
630	2.5095958025152835e-06
176090	6.55545829299045e-05
157463	6.055594974049137e-06
204516	0.004649456792050715
712528	0.0
1363	5.679137086160116e-05
28111	0.0018244841011552213
1470347	0.001057914435834539
1531	0.00015850501973772204
446660	0.001458445010946061
1262884	0.028067710145601662
1254	5.508826941057126e-05
1917883	7.34371755784248e-05
1262888	0.002396281920598016
1965631	0.003947574022941369
40091	0.0
636	0.0
1834205	0.00010979314734374094
641148	5.938952256265511e-07
1532555	0.0
29361	0.0006943214247232274
827	1.4265982724594606e-06
1262849	1.811803025356024e-06
645	0.0
1118061	0.00247516429565835
1262770	0.0
53443	0.00022160853835703854
1531429	0.0
1852372	1.7580925811218075e-05
1579	2.3972969092378373e-05
419208	7.758448965319396e-06
1739491	0.000268964649800258
154046	0.0005599696864212085
1262821	0.0017657738982922956
33945	9.159217487823608e-05
1520812	0.0
1262695	0.0002399350026113971
2702	3.343961107789076e-05
1841868	0.00030200649128590097
1897012	0.00020301651823755946
1318	0.002254707294518415
135082	0.0
1564	0.0
1465756	6.326750784691717e-06
1263028	0.0004111885330113704
335972	0.0
1262877	0.0004307648901516541
1262922	1.918444270260517e-05
1321780	0.0
1686287	0.0
936572	0.0
484	1.0718390633205836e-05
1235997	0.0
190146	0.0
423477	0.0003219105715610704
310514	0.0
61592	0.00014021488536295027
747	0.0
1907654	0.00028609862890248086
1262822	0.0006540744009023342
1596	0.00016245923220189348
1262988	0.0008297558971753774
219301	9.695865672902107e-07
126156	2.854551882019661e-06
1262904	0.001572749433761702
322095	1.706897503195682e-06
272548	0.00014744137573056664
83655	0.0
36740	0.0
439220	7.663299607927992e-07
1296	6.022251656992754e-07
28125	2.6107241871905563e-05
837	4.0898947278913e-06
2741	6.320166351869307e-07
1262965	4.772426396133468e-07
1263024	0.0021041701631868306
40518	0.06603967068982752
33964	0.00013435617909993635
1302	0.000592657536039483
1897025	0.0006748145054085433
1852388	0.0
209880	0.00019292390365858767
1322	1.1611971600069354e-05
1581	3.844557253523818e-06
1192054	1.213365335001505e-06
78345	1.4489681403584786e-06
2748	6.82142007380545e-06
197	0.0
587	0.0
1283	5.989702982117859e-06
1737425	1.2934310444169546e-05
615	4.466400673754443e-05
1661745	1.8107054205273842e-06
59620	0.006715081844843465
1497955	0.0
28037	0.0008349377676845698
1780380	7.87666495357118e-07
999425	0.00023967280331032317
1263015	0.00029404455957261007
1262953	0.005063836775341821
1262685	0.0001507363712737731
69823	1.1849641566230181e-05
1807749	7.987884946485845e-06
1574263	1.8001560165085364e-06
1659	7.392085544738789e-05
907	0.0011678620303446528
1598	0.00014839722029032196
584	2.230676878893231e-06
1497953	9.978058561367683e-06
267818	0.0
1613	7.005068319311202e-05
1965617	0.00020314443799015726
199	3.104212242673593e-05
1262847	8.912923784578284e-06
1262880	0.0010447421607158215
1490	0.0
52584	2.348729803819581e-07
712156	9.536506946249046e-06
1520815	0.00030101319839130586
507750	2.169339260355922e-06
379893	0.0
1262831	0.0
1111454	6.429570182911462e-05
1262944	0.0011496842565127975
1632	1.4276044692805135e-05
351091	0.0
61646	4.6998285262133284e-06
1871006	2.798514255424829e-05
1903262	4.2074052172277644e-05
582	4.033094712222593e-07
1499684	0.00018316895844951191
78259	2.5976972024668045e-05
1655638	4.413647790443845e-07
454155	0.0009730735219271702
1262801	0.00017978847831473085
1852361	0.00014793175277331343
154288	0.0005003700081754003
137732	6.940011645319236e-05
43770	1.153383202446307e-05
114652	2.118764825802954e-07
35517	0.00010252220779084987
1262917	5.378196845114813e-06
38313	0.0
157687	3.5861135956735654e-06
460870	5.236954843805869e-07
226910	3.5245044510617644e-06
1776384	2.2346978126520818e-05
1353	0.00013004130147074768
1335	0.00025011726993830565
28901	1.2973359685622608e-05
1795832	0.0
1796616	2.751797408316811e-06
428712	3.9248008128156366e-07
1262893	5.06254541908527e-05
103621	4.121783015133907e-06
729	0.0010367018731072028
1841857	6.792587683461112e-06
1689303	0.0
1580092	0.0
1263002	0.0007796653052662249
28090	1.7664204806266312e-05
45634	0.00016684767058236342
29466	0.0005516469758695303
290055	5.2956835054926214e-05
161879	0.0
511	6.685021135175288e-06
1262778	0.00046304955556251243
1262882	0.017880824081340226
82347	0.0
106654	0.0
1262688	0.0
39950	6.851363596014402e-06
28130	3.0197240907993026e-05
143393	0.00033757619787532867
1871021	0.00017061626865328035
712710	0.0
1796646	0.0
518643	0.0
59814	0.0
721785	6.646205292708571e-07
290054	8.230114720936104e-06
1112209	0.0
28197	3.0529602813136835e-06
626929	0.002899454767398047
712359	3.4425164127160943e-06
94625	0.0
1761782	0.0
1538295	0.0
762210	0.013314968366962629
1871018	7.94497283153458e-05
46125	0.00010420966700272785
419015	0.00020178300656979836
147206	1.808689201426603e-05
82977	0.0
135083	9.03256307278324e-06
416586	6.52090508165938e-05
191770	4.37504304626161e-07
342942	0.000591731977380206
1230476	3.222243775449459e-07
88431	0.008581014322692957
1870997	6.5721149468622575e-06
1193532	0.0007765977589843215
1563157	5.904490902903722e-06
36841	6.539853363228679e-06
38288	1.3981508719755229e-05
387661	0.0007535940057476526
1930002	1.5343442587067417e-05
