	environment	phylum	abundance
1342	control	Actinobacteria	10.62052300425973
1343	cancer	Proteobacteria	1.162101268493918
1344	cancer	Firmicutes	70.91089827331959
1345	cancer	Actinobacteria	4.642576274622687
1346	cancer	Bacteroidetes	21.289148038160054
1347	cancer	Firmicutes	42.09884666677548
1348	cancer	Actinobacteria	0.7577197111237793
1349	cancer	Bacteroidetes	55.851392173083084
1350	cancer	Proteobacteria	0.6114797613281476
1351	adenoma	Proteobacteria	0.9170930517634154
1352	adenoma	Firmicutes	69.00780199826767
1353	adenoma	Bacteroidetes	21.762166252980265
1354	adenoma	Actinobacteria	6.634232919945644
1355	control	Bacteroidetes	16.756861918478034
1356	control	Firmicutes	81.88716875753961
1357	control	Proteobacteria	0.5694610384447696
1358	control	Actinobacteria	0.3606067009186488
1359	cancer	Proteobacteria	2.7087136241285203
1360	cancer	Firmicutes	58.50156688718416
1361	cancer	Actinobacteria	3.1357583827682376
1362	cancer	Bacteroidetes	34.31338261385643
1363	cancer	Proteobacteria	1.9325948295707658
1364	cancer	Actinobacteria	9.002600019378201
1365	cancer	Firmicutes	76.20754778328518
1366	cancer	Bacteroidetes	11.31295508360647
1367	adenoma	Proteobacteria	0.66530088236668
1368	adenoma	Firmicutes	84.3162421369994
1369	adenoma	Bacteroidetes	2.4789090415914936
1370	adenoma	Actinobacteria	1.625022476690476
1371	cancer	Proteobacteria	7.596576405863968
1372	cancer	Firmicutes	59.5033846304659
1373	cancer	Bacteroidetes	25.94703391015608
1374	cancer	Actinobacteria	4.136917434870978
1375	adenoma	Firmicutes	83.07121755601591
1376	adenoma	Actinobacteria	3.2138138625336183
1377	adenoma	Bacteroidetes	12.085560345307101
1378	adenoma	Proteobacteria	1.402028538208766
1379	cancer	Proteobacteria	0.7287169420547724
1380	cancer	Firmicutes	84.37412488848709
1381	cancer	Actinobacteria	2.562154905463309
1382	cancer	Bacteroidetes	10.300849634435151
1383	cancer	Proteobacteria	2.4977444256101085
1384	cancer	Firmicutes	72.739344012907
1385	cancer	Bacteroidetes	16.762446643313552
1386	cancer	Actinobacteria	3.364751289865514
1387	control	Proteobacteria	1.7263001176219979
1388	control	Actinobacteria	6.449671610651751
1389	control	Firmicutes	72.79854143530866
1390	control	Bacteroidetes	18.03729286873536
1391	control	Proteobacteria	3.126916559652416
1392	control	Firmicutes	72.916188427345
1393	control	Actinobacteria	7.875666866831185
1394	control	Bacteroidetes	13.478467178731378
1395	cancer	Firmicutes	87.02422580171465
1396	cancer	Actinobacteria	2.931957238768495
1397	cancer	Bacteroidetes	8.35117350720509
1398	cancer	Proteobacteria	1.4299321069726505
1399	cancer	Proteobacteria	1.5059562720434216
1400	cancer	Firmicutes	80.24920429835444
1401	cancer	Actinobacteria	3.961553409261545
1402	cancer	Bacteroidetes	11.066813972986623
1403	cancer	Firmicutes	80.33043050365596
1404	cancer	Actinobacteria	12.704148294703197
1405	cancer	Bacteroidetes	5.585508662844606
1406	cancer	Proteobacteria	0.9623453022823749
1407	cancer	Proteobacteria	2.8699159593523413
1408	cancer	Firmicutes	57.1767884499383
1409	cancer	Actinobacteria	1.4770371532607722
1410	cancer	Bacteroidetes	36.56657582662508
1411	adenoma	Proteobacteria	2.9750249900919945
1412	adenoma	Firmicutes	26.892636216078998
1413	adenoma	Actinobacteria	59.67498383934399
1414	adenoma	Bacteroidetes	7.267507677837269
1415	cancer	Proteobacteria	0.6373117054619011
1416	cancer	Firmicutes	86.64509560005642
1417	cancer	Bacteroidetes	9.286719600583666
1418	cancer	Actinobacteria	3.1939377268864027
1419	cancer	Firmicutes	77.73836015484173
1420	cancer	Proteobacteria	0.5340057929673381
1421	cancer	Bacteroidetes	2.3935861629605077
1422	cancer	Actinobacteria	17.90620920972271
1423	cancer	Proteobacteria	0.5290827683246767
1424	cancer	Firmicutes	91.06059567161321
1425	cancer	Bacteroidetes	5.143984746752439
1426	cancer	Actinobacteria	1.8850490787333405
1427	cancer	Actinobacteria	4.155707930417867
1428	cancer	Firmicutes	85.44460011835565
1429	cancer	Bacteroidetes	8.314717115126959
1430	cancer	Proteobacteria	0.849023555048809
1431	cancer	Proteobacteria	2.6825488967008075
1432	cancer	Actinobacteria	2.9761016624140795
1433	cancer	Firmicutes	76.22957271118638
1434	cancer	Bacteroidetes	17.26882937992818
1435	control	Proteobacteria	1.579716446142486
1436	control	Firmicutes	64.85060197778678
1437	control	Bacteroidetes	12.163813500180293
1438	control	Actinobacteria	13.423549290059213
1439	adenoma	Proteobacteria	0.9354171891845009
1440	adenoma	Firmicutes	60.651872416232145
1441	adenoma	Actinobacteria	6.297492047842301
1442	adenoma	Bacteroidetes	31.369137513170593
1443	cancer	Proteobacteria	4.991784860552863
1444	cancer	Firmicutes	66.57389570613417
1445	cancer	Actinobacteria	3.439439078279152
1446	cancer	Bacteroidetes	22.439745589387172
1447	cancer	Proteobacteria	1.6981599310534687
1448	cancer	Firmicutes	49.24466518687829
1449	cancer	Actinobacteria	2.102482384926198
1450	cancer	Bacteroidetes	46.851722783954955
1451	control	Proteobacteria	2.239156941870585
